Название,Автор,Рейтинг,Прочитали,Хотят прочитать,Рецензии,Цитаты
Гранатовый браслет (сборник),Александр Куприн,Нет рейтинга,50,49,362,290
Консуэло. Том I,Жорж Санд,Нет рейтинга,821,780,26,434
Похвала тени,Дзюнъитиро Танидзаки,Нет рейтинга,260,251,17,41
Загадка Ледяного пламени (сборник),Автор не указан,Нет рейтинга,12,12,7,0
Безответная любовь (сборник),Рюноскэ Акутагава,Нет рейтинга,10,9,59,79
Слепая сова (сборник),Садег Хедаят,Нет рейтинга,28,27,21,33
Птицы (сборник),Дафна дю Морье,Нет рейтинга,2K,2K,256,129
Снежная страна,Ясунари Кавабата,Нет рейтинга,1K,1K,66,100
Персидские мифы,Автор не указан,Нет рейтинга,16,16,0,0
"Мифы Австралии, Новой Зеландии и Полинезии",Е. М. Колесова,Нет рейтинга,16,16,2,0
Двенадцать стульев  и  Золотой теленок (комплект из 2-х книг) (сборник),"Илья Ильф, Евгений Петров",Нет рейтинга,15K,15K,1K,2K
Обретенное время,Марсель Пруст,Нет рейтинга,399,383,32,197
Танцовщица (сборник),Мори Огай,Нет рейтинга,52,52,5,3
Книга пяти колец,Миямото Мусаси,Нет рейтинга,1K,1K,46,127
Пушкинский дом,Андрей Битов,Нет рейтинга,619,589,59,147
Семнадцать мгновений весны (сборник),Юлиан Семенов,Нет рейтинга,2K,2K,76,456
Мифы Северной Африки. От дерева Шэшра с золотыми листьями до богини Танит и египетских подменышей,Сарали Гинцбург,Нет рейтинга,14,14,1,0
Слепые,Морис Метерлинк,Нет рейтинга,73,73,2,5
"Прощай, оружие!",Эрнест Хемингуэй,Нет рейтинга,16K,16K,420,742
"Западный флигель, где Цуй Ин-ин ожидала луну",Ван Ши-фу,Нет рейтинга,7,7,0,0
Гейша Эйко,Сэйдзи Танидзаки,Нет рейтинга,22,22,2,4
Германские мифы,Автор не указан,Нет рейтинга,24,24,0,0
Клуб самоубийц,Роберт Льюис Стивенсон,Нет рейтинга,7K,7K,158,345
Цветы для Элджернона,Дэниел Киз,Нет рейтинга,144K,143K,3K,3K
Тарзан из племени обезьян. Возвращение Тарзана. Тарзан и его звери (сборник),Эдгар Райс Берроуз,Нет рейтинга,203,200,63,52
"Сказание о Юэ Фэе, славном воине Поднебесной",Цянь Цай,Нет рейтинга,6,6,0,0
Овод в изгнании. Прерванная дружба,Этель Лилиан Войнич,Нет рейтинга,1K,1K,69,190
"Персеваль, или Повесть о Граале",Кретьен де Труа,Нет рейтинга,110,107,5,15
В списках не значился,Борис Васильев,Нет рейтинга,11K,11K,384,577
История любовных похождений одинокой женщины,Ихара Сайкаку,Нет рейтинга,96,91,6,7
Повесть о настоящем человеке,Борис Полевой,Нет рейтинга,11K,11K,248,153
"Солнце и луна, или легенды Чосона",Хайнц Инсу Фенкл,Нет рейтинга,16,16,2,0
Странница (сборник),Колетт,Нет рейтинга,9,9,2,0
Чайка. Три сестры. Вишневый сад (сборник),Антон Чехов,Нет рейтинга,3K,3K,562,996
Солнцестояние,Автор не указан,Нет рейтинга,14,12,2,0
Подземелья Ватикана,Андре Жид,Нет рейтинга,361,350,28,54
Другое тело,Милорад Павич,Нет рейтинга,442,431,26,62
Буддийские мифы,Автор не указан,Нет рейтинга,16,16,0,0
Чувашские мифы. От озера Аль и праздника Сурхури до бога зла Шуйттана и хана волков,Алексей Александров,Нет рейтинга,4,4,7,0
Мифология майя и ацтеков: боги и сверхъестественные существа,Автор не указан,Нет рейтинга,3,3,0,0
Мифы и легенды Китая,Хёнсин То,Нет рейтинга,13,13,6,3
Незнакомка из Уайлдфелл-Холла,Энн Бронте,Нет рейтинга,11K,11K,511,479
Доводы рассудка,Джейн Остин,Нет рейтинга,15K,14K,478,4K
Леди Макбет Мценского уезда (сборник),Николай Лесков,Нет рейтинга,9K,9K,209,289
Летняя гроза,Пэлем Грэнвил Вудхаус,Нет рейтинга,115,113,5,2
"Демонология Японии. Гоблин Каппа, огни Кицунэби и пожиратель снов",Терса Мацура,Нет рейтинга,2,2,0,0
Река Богов,Йен Макдональд,Нет рейтинга,181,169,20,15
Консуэло. Том II,Жорж Санд,Нет рейтинга,563,548,16,431
Королевство кривых зеркал,Виталий Губарев,Нет рейтинга,4K,4K,103,38
Испорченные дети,Филипп Эриа,Нет рейтинга,160,159,23,7
Три медведя,Лев Толстой,Нет рейтинга,733,732,14,2
Сказки народов Поволжья,Автор не указан,Нет рейтинга,10,10,1,0
Море изобилия. Тетралогия,Юкио Мисима,Нет рейтинга,183,167,10,679
Китайская демонология,Юй Сы,Нет рейтинга,32,32,3,0
Нефритовая Гуаньинь,Автор не указан,Нет рейтинга,3,3,1,0
Турецкие мифы,Автор не указан,Нет рейтинга,4,4,1,0
Русская сказка из древних времен и до наших дней,Наталья Балаян,Нет рейтинга,12,12,3,5
Вампиры,Барон Олшеври,Нет рейтинга,2K,2K,158,59
Граф Монте-Кристо. Том 1,Александр Дюма,Нет рейтинга,15K,14K,136,3K
О привидениях и не только,Джером К. Джером,Нет рейтинга,43,43,2,61
Новые приключения Царя Обезьян,Дун Юэ,Нет рейтинга,13,13,1,0
Облачный сон девяти,Ким Манчжун,Нет рейтинга,13,12,2,0
Нетерпение сердца,Стефан Цвейг,Нет рейтинга,12K,12K,594,804
Остров Сахалин,Антон Чехов,Нет рейтинга,1K,1K,116,323
"Славянский фольклор. Тайные смыслы сказок, обрядов и ритуалов",Автор не указан,Нет рейтинга,0,0,0,0
Любомудрие в будуаре,Маркиз де Сад,Нет рейтинга,835,798,28,157
"Мифы Центральной и Южной Америки: майя, ацтеки, инки и другие",Автор не указан,Нет рейтинга,27,25,2,0
Утраченные иллюзии,Оноре де Бальзак,Нет рейтинга,2K,2K,88,568
Рабыня Изаура,Бернардо Гимараенс,Нет рейтинга,640,629,53,26
Мифы о смерти. От островов блаженных и знаков-предвестников до дьявольских рыцарей и дара бессмертия,Клод Лекоту,Нет рейтинга,0,0,0,0
Снежная королева,Евгений Шварц,Нет рейтинга,151,151,3,18
